;District RUS;Region RUS;Район RUS;City RUS;ШИРОТА google;ДОЛГОТА google;Актуален М;Актуален В;Актуален Е;;
2961;СФО;Красноярский край;Емельяновский;Красноярск;56.16;92.9;0;1;1;2;1
2976;СФО;Забайкальский край;Красночикойский;Красный Чикой;50.366;108.75;0;1;0;1;1
2993;ПФО;Нижегородская область;Воскресенский;Красный Яр;56.766;45.733;0;0;1;1;1
3029;СФО;Томская область;Кривошеинский;Кривошеино;57.333;83.95;0;1;0;1;1
3040;УФО;Челябинская область;Октябрьский;Крутоярский;54.2;63.15;0;1;0;1;1
3063;ЮФО;Волгоградская область;Среднеахтубинский;Куйбышев;48.683;44.85;1;1;0;2;1
3075;СФО;Красноярский край;Мотыгинский;Кулаково;58.1;93.75;0;0;1;1;1
3088;ПФО;Нижегородская область;Кулебакский;Кулебаки;55.4;42.533;0;0;1;1;1
3094;ЮФО;Волгоградская область;Кумылженский;Кумылженская;49.883;42.6;0;0;1;1;1
3098;СФО;Новосибирская область;Купинский;Купино;54.366;77.283;0;1;0;1;1
3101;СФО;Красноярский край;Курагинский;Курагино;53.883;92.666;0;1;1;2;1
3102;СФО;Алтайский край;Благовещенский;Курган;53.1;80.283;0;0;1;1;1
3105;УФО;Курганская область;Кетовский;Курган;55.466;65.4;0;1;1;2;1
3129;ЦФО;Тульская область;Куркинский;Куркино;53.433;38.666;1;0;0;1;1
3136;ЦФО;Курская область;Курский;Курск;51.766;36.166;0;1;1;2;1
3138;СКФО;Ставропольский край;Курский;Курская область;44.5;44.45;0;1;0;1;1
3139;УФО;Курганская область;Куртамышский;Куртамыш;54.916;64.433;0;1;0;1;1
3143;СФО;Алтайский край;Курьинский;Курья;51.6;82.316;0;0;1;1;1
3160;СФО;Республика Тыва;Кызылский;Кызыл;51.716;94.433;0;1;1;2;1
3161;СФО;Республика Тыва;Барун-Хемчикский;Кызыл-Мажалык;51.133;90.566;0;0;1;1;1
3162;СФО;Забайкальский край;Тунгокоченский;Кыкер;53.2;115.733;0;1;0;1;1
3163;СФО;Забайкальский край;Кыринский;Кыра;49.566;111.966;0;1;1;2;1
3165;СФО;Республика Бурятия;Тункинский;Кырен;51.683;102.166;0;0;1;1;1
3168;ДФО;Республика Саха (Якутия);Вилюйский;Кысыл-Сыр;63.9;122.783;0;1;0;1;1
3169;СФО;Алтайский край;Кытмановский;Кытманово;53.466;85.466;0;1;1;2;1
3171;СФО;Новосибирская область;Кыштовский;Кыштовка;56.55;76.633;0;1;0;1;1
3179;ДФО;Магаданская область;Чукотский;Лаврентия;65.583;166.516;0;0;1;1;1
3183;ДФО;Хабаровский край;Николаевский;Лазарев;52.216;141.516;0;1;1;2;1
3186;ЮФО;Краснодарский край;Лазаревский;Лазаревское;43.916;39.333;0;0;1;1;1
3188;ДФО;Приморский край;Лазовский;Лазо;43.383;133.9;0;0;1;1;1
3190;УФО;Тюменская область;Тобольский;Лайтамак;58.416;67.466;0;1;0;1;1
3225;СКФО;Ставропольский край;Левокумский;Левокумское;44.8;44.65;0;1;1;2;1
3238;ПФО;Пермский край;Кунгурский;Ленск;57.316;56.666;0;1;0;1;1
3239;ДФО;Республика Саха (Якутия);Ленский;Ленск ;60.71666667;114.9;0;0;1;1;1
